source,segment_type,segment_number,row_index,time_s,segment_time_s,distance_m,segment_distance_m,live_delta_to_best_s,live_delta_error,final_delta_to_best_s,lat,lon,speed_mph,yaw_deg,pitch_deg,roll_deg,pos_uncertainty_m
VN300_2026-07-12_14-41-49_VNINS.csv,lap,8,49769,1244.270049,0.000000,3600.596,0.000,0.000000,,-0.414796,35.52849830,-97.47520232,35.421,-157.717,30.965,-20.498,1.200
VN300_2026-07-12_14-41-49_VNINS.csv,lap,8,49770,1244.540768,0.270719,3600.992,0.396,0.270719,,-0.414796,35.52849513,-97.47520431,35.139,-157.077,30.890,-20.926,1.200
VN300_2026-07-12_14-41-49_VNINS.csv,lap,8,49771,1244.540768,0.270719,3601.384,0.788,0.270719,,-0.414796,35.52849201,-97.47520633,34.829,-156.328,30.929,-20.787,1.200
VN300_2026-07-12_14-41-49_VNINS.csv,lap,8,49772,1244.540768,0.270719,3601.773,1.177,0.270719,,-0.414796,35.52848893,-97.47520838,34.646,-155.463,31.068,-20.588,1.210
VN300_2026-07-12_14-41-49_VNINS.csv,lap,8,49773,1244.540768,0.270719,3602.161,1.565,0.261391,,-0.414796,35.52848589,-97.47521047,34.376,-154.460,31.415,-20.324,1.210
VN300_2026-07-12_14-41-49_VNINS.csv,lap,8,49774,1244.540768,0.270719,3602.544,1.948,-0.008572,,-0.414796,35.52848290,-97.47521258,34.219,-153.479,31.624,-20.260,1.210
VN300_2026-07-12_14-41-49_VNINS.csv,lap,8,49775,1244.540768,0.270719,3602.979,2.383,-0.008572,,-0.414796,35.52847936,-97.47521463,34.193,-152.443,31.725,-20.230,1.180
VN300_2026-07-12_14-41-49_VNINS.csv,lap,8,49776,1244.540768,0.270719,3603.360,2.764,-0.008572,,-0.414796,35.52847641,-97.47521677,33.876,-151.439,31.554,-19.794,1.180
VN300_2026-07-12_14-41-49_VNINS.csv,lap,8,49777,1244.540768,0.270719,3603.738,3.142,-0.008572,,-0.414796,35.52847351,-97.47521895,33.695,-150.357,31.329,-19.178,1.180
VN300_2026-07-12_14-41-49_VNINS.csv,lap,8,49778,1244.540768,0.270719,3604.116,3.520,-0.008572,,-0.414796,35.52847064,-97.47522118,33.616,-149.246,31.163,-18.730,1.180
VN300_2026-07-12_14-41-49_VNINS.csv,lap,8,49779,1244.540768,0.270719,3604.493,3.897,-0.008572,,-0.414796,35.52846781,-97.47522347,33.599,-147.916,31.408,-18.572,1.180
VN300_2026-07-12_14-41-49_VNINS.csv,lap,8,49780,1244.540768,0.270719,3604.868,4.272,-0.008572,,-0.414796,35.52846501,-97.47522579,33.413,-146.562,31.839,-18.259,1.180
VN300_2026-07-12_14-41-49_VNINS.csv,lap,8,49781,1244.794805,0.524756,3605.241,4.645,0.245465,,-0.414796,35.52846226,-97.47522815,33.123,-145.161,32.296,-17.651,1.180
VN300_2026-07-12_14-41-49_VNINS.csv,lap,8,49782,1244.794805,0.524756,3605.610,5.014,0.245465,,-0.414796,35.52845958,-97.47523056,32.856,-143.918,32.427,-17.518,1.180
VN300_2026-07-12_14-41-49_VNINS.csv,lap,8,49783,1244.794805,0.524756,3606.099,5.503,0.210255,,-0.414796,35.52845692,-97.47523486,33.276,-142.743,32.436,-17.363,1.150
VN300_2026-07-12_14-41-49_VNINS.csv,lap,8,49784,1244.794805,0.524756,3606.471,5.875,-0.008282,,-0.414796,35.52845435,-97.47523748,33.074,-141.749,32.170,-17.165,1.150
